,discipline,SPMDIR,PARCOACH-static,PARCOACH-dynamic,RMASanitizer-NoOpt,MUST-TSan
Correct-fence-accumulate_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-accumulate_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-accumulate_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_get-001.c,RMA,TN,FP,FP,TN,TN
Correct-fence-bufread_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufread_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_accumulate-001.c,RMA,TN,TN,FP,TN,TN
Correct-fence-bufwrite_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_get-001.c,RMA,TN,FP,FP,TN,TN
Correct-fence-bufwrite_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_put-001.c,RMA,TN,TN,FP,TN,TN
Correct-fence-bufwrite_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-bufwrite_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-compare_and_swap_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-compare_and_swap_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-fetch_and_op_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-fetch_and_op_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-fetch_and_op_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-fetch_and_op_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-fetch_and_op_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-fetch_and_op_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-fetch_and_op_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-fetch_and_op_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-fetch_and_op_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-fetch_and_op_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-fetch_and_op_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-fetch_and_op_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-get_accumulate-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-get_accumulate_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-get_accumulate_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-get_accumulate_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-get_accumulate_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-get_accumulate_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-get_accumulate_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-get_accumulate_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-get_accumulate_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-get_accumulate_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-get_accumulate_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-get_accumulate_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-get_accumulate_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-get_bufread-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-get_bufwrite-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-get_compare_and_swap-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-get_fetch_and_op-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-get_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-get_get_accumulate-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-get_put-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-get_raccumulate-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-get_rget-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-get_rget_accumulate-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-get_rput-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-put_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-put_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-put_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-put_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-put_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-put_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-put_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-put_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-put_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-put_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-put_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-put_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-raccumulate_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-raccumulate_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-raccumulate_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-raccumulate_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-raccumulate_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-raccumulate_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-raccumulate_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-raccumulate_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-raccumulate_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-raccumulate_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-raccumulate_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-raccumulate_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_accumulate_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_accumulate_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_accumulate_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_accumulate_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_accumulate_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_accumulate_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-rget_accumulate_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_accumulate_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_accumulate_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_accumulate_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_accumulate_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_accumulate_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-rget_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rget_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rput_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rput_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rput_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rput_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rput_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rput_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-fence-rput_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rput_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rput_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rput_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rput_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-fence-rput_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-accumulate_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-accumulate_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufread_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufread_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufread_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufread_get-001.c,RMA,TN,FP,FP,TN,TN
Correct-lockallflush-bufread_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufread_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufread_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufread_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufread_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufread_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_accumulate-001.c,RMA,TN,TN,FP,TN,TN
Correct-lockallflush-bufwrite_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_get-001.c,RMA,TN,FP,FP,TN,TN
Correct-lockallflush-bufwrite_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_put-001.c,RMA,TN,TN,FP,TN,TN
Correct-lockallflush-bufwrite_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-bufwrite_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-compare_and_swap_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-compare_and_swap_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-fetch_and_op_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-fetch_and_op_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_accumulate-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-get_accumulate_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_accumulate_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_accumulate_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_accumulate_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_accumulate_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_accumulate_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-get_accumulate_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_accumulate_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_accumulate_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_accumulate_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_accumulate_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_accumulate_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-get_bufread-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-get_bufwrite-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-get_compare_and_swap-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-get_fetch_and_op-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-get_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-get_get_accumulate-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-get_put-001.c,RMA,TN,FP,FP,TN,TN
Correct-lockallflush-get_raccumulate-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-get_rget-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-get_rget_accumulate-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-get_rput-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-put_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-put_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-put_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-put_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-put_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-put_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-put_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-put_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-put_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-put_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-put_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-put_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-raccumulate_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-raccumulate_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-raccumulate_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-raccumulate_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-raccumulate_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-raccumulate_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-raccumulate_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-raccumulate_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-raccumulate_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-raccumulate_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-raccumulate_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-raccumulate_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_accumulate_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_accumulate_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_accumulate_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_accumulate_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_accumulate_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_accumulate_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-rget_accumulate_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_accumulate_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_accumulate_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_accumulate_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_accumulate_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_accumulate_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-rget_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rget_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rput_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rput_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rput_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rput_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rput_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rput_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflush-rput_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rput_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rput_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rput_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rput_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflush-rput_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-accumulate_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-accumulate_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-accumulate_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-accumulate_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-accumulate_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-accumulate_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflushlocal-accumulate_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-accumulate_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-accumulate_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-accumulate_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-accumulate_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-accumulate_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufread_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufread_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufread_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufread_get-001.c,RMA,TN,FP,FP,TN,TN
Correct-lockallflushlocal-bufread_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufread_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufread_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufread_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufread_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufread_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufwrite_accumulate-001.c,RMA,TN,TN,FP,TN,TN
Correct-lockallflushlocal-bufwrite_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufwrite_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufwrite_get-001.c,RMA,TN,FP,FP,TN,TN
Correct-lockallflushlocal-bufwrite_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufwrite_put-001.c,RMA,TN,TN,FP,TN,TN
Correct-lockallflushlocal-bufwrite_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufwrite_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufwrite_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-bufwrite_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-compare_and_swap_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-compare_and_swap_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-compare_and_swap_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-compare_and_swap_compare_and_swap-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-compare_and_swap_fetch_and_op-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-compare_and_swap_get-001.c,RMA,TN,FP,TN,TN,TN
Correct-lockallflushlocal-compare_and_swap_get_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-compare_and_swap_put-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-compare_and_swap_raccumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-compare_and_swap_rget-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-compare_and_swap_rget_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-compare_and_swap_rput-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-fetch_and_op_accumulate-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-fetch_and_op_bufread-001.c,RMA,TN,TN,TN,TN,TN
Correct-lockallflushlocal-fetch_and_op_bufwrite-001.c,RMA,TN,TN,TN,TN,TN
